----------------------------------------------------------
Intel Corporation Socwatch Tool Version 1.2.1 Release  (INTERNAL)
Copyright (c) 2009-2013, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: SoCWatchDevelopers@intel.com 
----------------------------------------------------------

,Captured for,    140.0 seconds,
,----------,----------,----------
,   Core C State Residency        
,----------,----------,----------
,         ,      Core0,      Core1
,----------,----------,----------

,       CC0,     53.2%,     59.8%,
,       CC1,      7.4%,      6.3%,
,       CC6,     39.4%,     33.9%,
,----------,----------
,   Module C State Residency        
,----------,----------
,         ,    Module0
,----------,----------

,       MC0,     82.2%,
,       MC2,      0.0%,
,       MC4,      0.0%,
,       MC6,     17.8%,
,----------,----------
,   Package C State Residency        
,----------,----------
,         ,   Package0
,----------,----------

,       PC0,     83.3%,
,       PC2,      0.0%,
,       PC4,      0.0%,
,       PC6,     16.7%,

,----------,Wakeup Information,----------,----------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,      2399,         0,             ---,
         1,       TIM,      1132,         0,         swapper,
         2,       IRQ,       646,        71,        pvrsrvkm,
         3,       IRQ,       372,        72,         isp_irq,
         4,       TIM,       310,        67,         mmcqd/0,
         5,       TIM,       237,       174,        Binder_1,
         6,       IRQ,       184,        24,intel_sst_driver,
         7,       UNK,       160,         0,             ---,
         8,       IRQ,       147,        13,i2c-designware-4,
         9,       TIM,        95,      2009,        socwatch,
        10,       IRQ,        88,         0,            mmc0,
        11,       IPI,        25,         0,             ---,
        12,       TIM,        20,        12,      watchdog/1,
        13,       IRQ,        14,        47,   intel_psh_ipc,
        14,       IRQ,        12,         7,   SCHED_SOFTIRQ,
        15,       IRQ,        10,        10,i2c-designware-2,
        16,       IRQ,         6,        48,   intel_scu_ipc,
        17,       TIM,         5,        27, irq/47-intel_ps,
        18,       TIM,         5,        79,     kworker/1:2,
        19,       WRQ,         3,         0,             ---,
        20,       TIM,         3,      1810, .intel.camera22,
        21,       TIM,         2,       190,          logcat,
        22,       TIM,         1,        15,     kworker/1:0,
        23,       TIM,         1,       449,   system_server,
        24,       TIM,         1,      1580, android.youtube,
        25,       IRQ,         1,        50,             adc,

----------,----------,----------,----------,----------------,
      Core0 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     15292,         0,             ---,
         1,       TIM,      6986,       197,             ---,
         2,       IRQ,      6056,        71,        pvrsrvkm,
         3,       IRQ,      4553,        72,         isp_irq,
         4,       IRQ,      1766,        24,intel_sst_driver,
         5,       IRQ,      1585,        13,i2c-designware-4,
         6,       TIM,      1180,       174,        Binder_1,
         7,       TIM,       786,         0,         swapper,
         8,       IRQ,       220,         0,            mmc0,
         9,       IRQ,       148,        47,   intel_psh_ipc,
        10,       UNK,       136,         0,             ---,
        11,       TIM,       123,      2009,        socwatch,
        12,       IRQ,        95,         7,   SCHED_SOFTIRQ,
        13,       TIM,        34,        67,         mmcqd/0,
        14,       IRQ,         8,        48,   intel_scu_ipc,
        15,       TIM,         5,        11,      watchdog/0,
        16,       TIM,         5,      1810, .intel.camera22,
        17,       IPI,         4,         0,             ---,
        18,       TIM,         3,        12,      watchdog/1,
        19,       TIM,         1,       190,          logcat,
        20,       WRQ,         1,         0,             ---,
        21,       TIM,         1,       651,             ---,
        22,       IRQ,         1,        10,i2c-designware-2,
        23,       IRQ,         1,        50,             adc,

----------,----------,----------,----------,----------------,
      Core1 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     15621,         0,             ---,
         1,       IRQ,      5941,        71,        pvrsrvkm,
         2,       IRQ,      3334,        72,         isp_irq,
         3,       IRQ,      1939,        13,i2c-designware-4,
         4,       IRQ,      1396,        24,intel_sst_driver,
         5,       TIM,       773,         0,         swapper,
         6,       TIM,       251,       174,        Binder_1,
         7,       IRQ,       235,         0,            mmc0,
         8,       UNK,       148,         0,             ---,
         9,       IRQ,       114,        47,   intel_psh_ipc,
        10,       TIM,        60,        67,         mmcqd/0,
        11,       TIM,        55,      2009,        socwatch,
        12,       IRQ,        27,         7,   SCHED_SOFTIRQ,
        13,       IPI,        21,         0,             ---,
        14,       TIM,         9,        12,      watchdog/1,
        15,       TIM,         7,      1810, .intel.camera22,
        16,       IRQ,         7,        48,   intel_scu_ipc,
        17,       WRQ,         3,         0,             ---,
        18,       IRQ,         2,        10,i2c-designware-2,
        19,       IRQ,         2,        50,             adc,
        20,       TIM,         1,       463,             ---,
        21,       IRQ,         1,        27,   i2c_pmic_adap,









,----------,-----------,----------,
,       P State Residency         ,
,----------,-----------,----------,
,----------,  Core 0   ,----------,
,      P[0],            2001-2133,      0.0%,
,      P[0],            1867-2000,      0.0%,
,      P[0],            1734-1866,      0.1%,
,      P[0],            1601-1733,      0.2%,
,      P[0],            1467-1600,      0.3%,
,      P[0],            1334-1466,      1.1%,
,      P[1],            1333,      0.7%,
,      P[2],            1200,      0.0%,
,      P[3],            1066,      0.0%,
,      P[4],             933,      0.2%,
,      P[5],             800,      2.4%,
,      P[6],             666,      6.6%,
,      P[7],             533,     88.3%,
,----------,  Core 1   ,----------,
,      P[0],            2001-2133,      0.0%,
,      P[0],            1867-2000,      0.1%,
,      P[0],            1734-1866,      0.1%,
,      P[0],            1601-1733,      0.5%,
,      P[0],            1467-1600,      1.2%,
,      P[0],            1334-1466,      1.2%,
,      P[1],            1333,      0.1%,
,      P[2],            1200,      0.0%,
,      P[3],            1066,      0.1%,
,      P[4],             933,      0.6%,
,      P[5],             800,      3.2%,
,      P[6],             666,     12.3%,
,      P[7],             533,     80.6%,
,----------,----------,----------,----------,----------,----------------------------------------------
,          ,    North Complex   ,Residency ,          ,
,----------,----------,----------,----------,----------,----------------------------------------------
,          ,   D0i0   ,   D0i1   ,    D0i2  ,    D0i3  ,
,----------,----------,----------,----------,----------,----------------------------------------------
,   NC-00  ,    100.0%,      0.0%,      0.0%,      0.0%," GFXSLC ",
,   NC-01  ,    100.0%,      0.0%,      0.0%,      0.0%," GSDKCK ",
,   NC-02  ,    100.0%,      0.0%,      0.0%,      0.0%," GRSCD  ",
,   NC-03  ,      0.0%,      0.0%,      0.0%,    100.0%,"Video Decoder",
,   NC-04  ,     55.4%,      0.0%,      0.0%,     44.6%,"Video Encoder",
,   NC-05  ,    100.0%,      0.0%,      0.0%,      0.0%,"Display Island A",
,   NC-06  ,      0.0%,      0.0%,      0.0%,    100.0%,"Display Island B",
,   NC-07  ,    100.0%,      0.0%,      0.0%,      0.0%,"Display Island C",
,   NC-08  ,      0.0%,      0.0%,      0.0%,    100.0%,"VSP",
,   NC-09  ,    100.0%,      0.0%,      0.0%,      0.0%,"ISP",
,   NC-10  ,    100.0%,      0.0%,      0.0%,      0.0%,"MIO",
,   NC-11  ,      0.0%,      0.0%,      0.0%,    100.0%,"HDMIO ",
,   NC-12  ,    100.0%,      0.0%,      0.0%,      0.0%,"GFXSLCLDO",
,----------,----------,----------,----------,----------,-----------------------------------------------
,South Complex Device residencies of some Subsystem goes in D0i2 only(not D0i3), which are reported as D0i3 by SCU,
,----------,----------,----------,-----------------------------------------------,
,          ,   Device ,Residency ,                                               ,
,----------,----------,----------,-----------------------------------------------,
,   LSS    ,   D0i0   ,   D0i3   ,           Physical Devices                    ,
,----------,----------,----------,-----------------------------------------------,
,  LSS-00  ,      0.5%,     99.5%,PSH, I2C8, I2C9    ,
,  LSS-01  ,      0.0%,    100.0%,SDIO0        ,
,  LSS-02  ,      8.3%,     91.7%,EMMC0        ,
,  LSS-04  ,      0.0%,    100.0%,SDIO2        ,
,  LSS-05  ,      0.0%,    100.0%,MIPIHSI      ,
,  LSS-06  ,      0.0%,    100.0%,SECURITY     ,
,  LSS-07  ,      0.0%,    100.0%,SECTAP       ,
,  LSS-08  ,      0.0%,    100.0%,USBHSICRF    ,
,  LSS-09  ,      0.0%,    100.0%,USB3XHCI     ,
,  LSS-10  ,    100.0%,      0.0%,AUDIO, AUDIOFABRIC, SSP2, AUDDMA1, SSP1, SLIMBUSCTL  ,
,  LSS-17  ,      0.0%,    100.0%,SSP3         ,
,  LSS-18  ,      0.0%,    100.0%,SSP5         ,
,  LSS-19  ,      0.0%,    100.0%,SSP6         ,
,  LSS-20  ,      0.0%,    100.0%,I2C1         ,
,  LSS-21  ,      0.2%,     99.8%,I2C2         ,
,  LSS-22  ,      0.0%,    100.0%,I2C3         ,
,  LSS-23  ,     99.9%,      0.1%,I2C4         ,
,  LSS-24  ,      0.0%,    100.0%,I2C5         ,
,  LSS-25  ,      0.0%,    100.0%,GPDMA        ,
,  LSS-26  ,      0.0%,    100.0%,I2C6         ,
,  LSS-27  ,      0.0%,    100.0%,I2C7         ,
,  LSS-30  ,      0.0%,    100.0%,KPD          ,
,  LSS-35  ,    100.0%,      0.0%,SSP4         ,
,  LSS-36  ,      0.0%,    100.0%,PWM          ,
,----------,----------,----------,-----------------------------------------------,
KERNEL Wakelock AudioInLock was locked 1 time(s) for a total of 139795.7 ms
KERNEL Wakelock KeyEvents was locked 5 time(s) for a total of 0.4 ms
KERNEL Wakelock PowerManagerService.Display was locked 1 time(s) for a total of 139795.7 ms
KERNEL Wakelock PowerManagerService.WakeLocks was locked 1 time(s) for a total of 139795.7 ms
KERNEL Wakelock Sensorhubd was locked 1 time(s) for a total of 139795.7 ms
KERNEL Wakelock alarm was locked 5 time(s) for a total of 28189.2 ms
KERNEL Wakelock intel_scu_ipc was locked 229 time(s) for a total of 66.0 ms
KERNEL Wakelock max17047_battery was locked 2 time(s) for a total of 85.4 ms
KERNEL Wakelock ospm_wake_lock was locked 1 time(s) for a total of 139795.7 ms
KERNEL Wakelock pmic_i2c_wake_lock was locked 3 time(s) for a total of 4.5 ms
KERNEL Wakelock pmic_wakelock was locked 1 time(s) for a total of 2993.7 ms
USER Wakelock AlarmManager was locked 5 time(s) for a total of 165.2 ms
USER Wakelock AudioIn_17 was locked 1 time(s) for a total of 139672.5 ms
USER Wakelock WindowManager was locked 1 time(s) for a total of 139672.5 ms

