----------------------------------------------------------
Intel Corporation Socwatch Tool Version 1.2.1 Release  (INTERNAL)
Copyright (c) 2009-2013, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: SoCWatchDevelopers@intel.com 
----------------------------------------------------------

,Captured for,    140.0 seconds,
,----------,----------,----------
,   Core C State Residency        
,----------,----------,----------
,         ,      Core0,      Core1
,----------,----------,----------

,       CC0,     55.8%,     54.5%,
,       CC1,     14.1%,     15.6%,
,       CC6,     30.1%,     29.9%,
,----------,----------
,   Module C State Residency        
,----------,----------
,         ,    Module0
,----------,----------

,       MC0,     87.6%,
,       MC2,      0.0%,
,       MC4,      0.0%,
,       MC6,     12.4%,
,----------,----------
,   Package C State Residency        
,----------,----------
,         ,   Package0
,----------,----------

,       PC0,     88.4%,
,       PC2,      0.0%,
,       PC4,      0.0%,
,       PC6,     11.6%,

,----------,Wakeup Information,----------,----------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,      6586,         0,             ---,
         1,       TIM,      4118,        67,         mmcqd/0,
         2,       IRQ,      2380,        71,        pvrsrvkm,
         3,       TIM,      2197,       173,     mediaserver,
         4,       TIM,      2002,         0,         swapper,
         5,       TIM,      1680,       193,          logcat,
         6,       UNK,       680,         0,             ---,
         7,       IRQ,       292,        24,intel_sst_driver,
         8,       TIM,       146,      1952,        socwatch,
         9,       IRQ,       136,         0,            mmc0,
        10,       IPI,        65,         0,             ---,
        11,       TIM,        35,        88,     kworker/1:3,
        12,       TIM,        25,        12,      watchdog/1,
        13,       TIM,        14,      1770, droid.gallery3d,
        14,       IRQ,        13,        48,   intel_scu_ipc,
        15,       IRQ,        12,         7,   SCHED_SOFTIRQ,
        16,       TIM,         9,      1844,     com.dispmgr,
        17,       IRQ,         7,        10,i2c-designware-2,
        18,       IRQ,         1,        27,   i2c_pmic_adap,

----------,----------,----------,----------,----------------,
      Core0 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     22121,         0,             ---,
         1,       IRQ,      9647,        71,        pvrsrvkm,
         2,       TIM,      2250,       197,             ---,
         3,       TIM,      1108,       173,     mediaserver,
         4,       IRQ,       928,        24,intel_sst_driver,
         5,       TIM,       753,         0,         swapper,
         6,       IRQ,       311,         0,            mmc0,
         7,       TIM,       245,        67,         mmcqd/0,
         8,       TIM,       155,       193,          logcat,
         9,       UNK,        86,         0,             ---,
        10,       TIM,        47,      1952,        socwatch,
        11,       TIM,         9,        12,      watchdog/1,
        12,       IRQ,         9,        48,   intel_scu_ipc,
        13,       TIM,         7,      1770, droid.gallery3d,
        14,       TIM,         5,      1844,     com.dispmgr,
        15,       IPI,         4,         0,             ---,
        16,       TIM,         4,        11,      watchdog/0,
        17,       IRQ,         2,        50,             adc,
        18,       WRQ,         2,         0,             ---,
        19,       IRQ,         1,        27,   i2c_pmic_adap,
        20,       TIM,         1,       450,   system_server,

----------,----------,----------,----------,----------------,
      Core1 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     25948,         0,             ---,
         1,       IRQ,      9720,        71,        pvrsrvkm,
         2,       IRQ,       894,        24,intel_sst_driver,
         3,       TIM,       878,       173,     mediaserver,
         4,       TIM,       571,         0,         swapper,
         5,       IRQ,       340,         0,            mmc0,
         6,       TIM,       319,        67,         mmcqd/0,
         7,       TIM,        78,       193,          logcat,
         8,       UNK,        75,         0,             ---,
         9,       TIM,        47,      1952,        socwatch,
        10,       IRQ,        11,        48,   intel_scu_ipc,
        11,       TIM,         9,        12,      watchdog/1,
        12,       IPI,         7,         0,             ---,
        13,       TIM,         6,      1770, droid.gallery3d,
        14,       IRQ,         2,        10,i2c-designware-2,









,----------,-----------,----------,
,       P State Residency         ,
,----------,-----------,----------,
,----------,  Core 0   ,----------,
,      P[0],            2001-2133,      0.4%,
,      P[0],            1867-2000,      0.0%,
,      P[0],            1734-1866,      0.0%,
,      P[0],            1601-1733,      0.0%,
,      P[0],            1467-1600,      0.1%,
,      P[0],            1334-1466,      0.2%,
,      P[1],            1333,      0.1%,
,      P[2],            1200,      0.0%,
,      P[3],            1066,      0.1%,
,      P[4],             933,      0.0%,
,      P[5],             800,      0.3%,
,      P[6],             666,      0.7%,
,      P[7],             533,     98.2%,
,----------,  Core 1   ,----------,
,      P[0],            2001-2133,      0.0%,
,      P[0],            1867-2000,      0.0%,
,      P[0],            1734-1866,      0.0%,
,      P[0],            1601-1733,      0.1%,
,      P[0],            1467-1600,      0.1%,
,      P[0],            1334-1466,      0.0%,
,      P[1],            1333,      0.0%,
,      P[2],            1200,      0.1%,
,      P[3],            1066,      0.0%,
,      P[4],             933,      0.0%,
,      P[5],             800,      0.1%,
,      P[6],             666,      0.6%,
,      P[7],             533,     99.0%,
,----------,----------,----------,----------,----------,----------------------------------------------
,          ,    North Complex   ,Residency ,          ,
,----------,----------,----------,----------,----------,----------------------------------------------
,          ,   D0i0   ,   D0i1   ,    D0i2  ,    D0i3  ,
,----------,----------,----------,----------,----------,----------------------------------------------
,   NC-00  ,    100.0%,      0.0%,      0.0%,      0.0%," GFXSLC ",
,   NC-01  ,    100.0%,      0.0%,      0.0%,      0.0%," GSDKCK ",
,   NC-02  ,    100.0%,      0.0%,      0.0%,      0.0%," GRSCD  ",
,   NC-03  ,     35.0%,      0.0%,      0.0%,     65.0%,"Video Decoder",
,   NC-04  ,      0.0%,      0.0%,      0.0%,    100.0%,"Video Encoder",
,   NC-05  ,    100.0%,      0.0%,      0.0%,      0.0%,"Display Island A",
,   NC-06  ,      0.0%,      0.0%,      0.0%,    100.0%,"Display Island B",
,   NC-07  ,    100.0%,      0.0%,      0.0%,      0.0%,"Display Island C",
,   NC-08  ,     75.2%,      0.0%,      0.0%,     24.8%,"VSP",
,   NC-09  ,      0.0%,      0.0%,      0.0%,    100.0%,"ISP",
,   NC-10  ,    100.0%,      0.0%,      0.0%,      0.0%,"MIO",
,   NC-11  ,      0.0%,      0.0%,      0.0%,    100.0%,"HDMIO ",
,   NC-12  ,    100.0%,      0.0%,      0.0%,      0.0%,"GFXSLCLDO",
,----------,----------,----------,----------,----------,-----------------------------------------------
,South Complex Device residencies of some Subsystem goes in D0i2 only(not D0i3), which are reported as D0i3 by SCU,
,----------,----------,----------,-----------------------------------------------,
,          ,   Device ,Residency ,                                               ,
,----------,----------,----------,-----------------------------------------------,
,   LSS    ,   D0i0   ,   D0i3   ,           Physical Devices                    ,
,----------,----------,----------,-----------------------------------------------,
,  LSS-00  ,      0.0%,    100.0%,PSH, I2C8, I2C9    ,
,  LSS-01  ,      0.0%,    100.0%,SDIO0        ,
,  LSS-02  ,     47.0%,     53.0%,EMMC0        ,
,  LSS-04  ,      0.0%,    100.0%,SDIO2        ,
,  LSS-05  ,      0.0%,    100.0%,MIPIHSI      ,
,  LSS-06  ,      0.0%,    100.0%,SECURITY     ,
,  LSS-07  ,      0.0%,    100.0%,SECTAP       ,
,  LSS-08  ,      0.0%,    100.0%,USBHSICRF    ,
,  LSS-09  ,      0.0%,    100.0%,USB3XHCI     ,
,  LSS-10  ,    100.0%,      0.0%,AUDIO, AUDIOFABRIC, SSP2, AUDDMA1, SSP1, SLIMBUSCTL  ,
,  LSS-17  ,      0.0%,    100.0%,SSP3         ,
,  LSS-18  ,      0.0%,    100.0%,SSP5         ,
,  LSS-19  ,      0.0%,    100.0%,SSP6         ,
,  LSS-20  ,      0.0%,    100.0%,I2C1         ,
,  LSS-21  ,      0.1%,     99.9%,I2C2         ,
,  LSS-22  ,      0.0%,    100.0%,I2C3         ,
,  LSS-23  ,      0.0%,    100.0%,I2C4         ,
,  LSS-24  ,      0.0%,    100.0%,I2C5         ,
,  LSS-25  ,      0.0%,    100.0%,GPDMA        ,
,  LSS-26  ,      0.0%,    100.0%,I2C6         ,
,  LSS-27  ,      0.0%,    100.0%,I2C7         ,
,  LSS-30  ,      0.0%,    100.0%,KPD          ,
,  LSS-35  ,    100.0%,      0.0%,SSP4         ,
,  LSS-36  ,      0.0%,    100.0%,PWM          ,
,----------,----------,----------,-----------------------------------------------,
KERNEL Wakelock AudioOutLock was locked 1 time(s) for a total of 139904.8 ms
KERNEL Wakelock KeyEvents was locked 5 time(s) for a total of 0.5 ms
KERNEL Wakelock PowerManagerService.Display was locked 1 time(s) for a total of 139904.8 ms
KERNEL Wakelock PowerManagerService.WakeLocks was locked 1 time(s) for a total of 139904.8 ms
KERNEL Wakelock Sensorhubd was locked 1 time(s) for a total of 139904.8 ms
KERNEL Wakelock alarm was locked 4 time(s) for a total of 9.5 ms
KERNEL Wakelock intel_scu_ipc was locked 202 time(s) for a total of 46.6 ms
KERNEL Wakelock max17047_battery was locked 1 time(s) for a total of 38.5 ms
KERNEL Wakelock ospm_wake_lock was locked 1 time(s) for a total of 139904.8 ms
KERNEL Wakelock pmic_i2c_wake_lock was locked 3 time(s) for a total of 4.4 ms
KERNEL Wakelock pmic_wakelock was locked 1 time(s) for a total of 2683.9 ms
USER Wakelock AlarmManager was locked 4 time(s) for a total of 243.6 ms
USER Wakelock AudioOut_2 was locked 1 time(s) for a total of 139843.9 ms
USER Wakelock WindowManager was locked 1 time(s) for a total of 139843.9 ms

